"[0.38613861386138615, 0, 0.5384615384615384, 0.46153846153846156, 0, 0.23076923076923078, 0]",2,0.125,
"[0.47, 1, 0.6923076923076923, 0.3076923076923077, 0.0, 0.23076923076923078, 0]",2,0.125,
"[0.6336633663366337, 0, 0.8461538461538461, 0.15384615384615385, 0.0, 0.23076923076923078, 0]",3,0.125,
,,-0.0625,
,,0.0625,
,,-0.0625,
,,0.0625,
,,-0.0625,
"[0.5643564356435643, 0, 0.9322033898305084, 0.06779661016949153, 0.2857142857142857, 0.3559322033898305, 0]",3,-0.1875,
"[0.26, 1, 0.6923076923076923, 0.3076923076923077, 0.26666666666666666, 0.23076923076923078, 0]",0,-0.0625,
"[0.53, 0, 0.5932203389830508, 0.4067796610169492, 0.2857142857142857, 0.3559322033898305, 0]",0,-0.125,
,,0.0625,
"[0.76, 0, 0.5384615384615384, 0.46153846153846156, 0.0, 0.23076923076923078, 0]",3,0.125,
"[0.8, 1, 0.6923076923076923, 0.3076923076923077, 0.0, 0.23076923076923078, 0]",3,0.125,
"[0.69, 0, 0.8461538461538461, 0.15384615384615385, 0.0, 0.23076923076923078, 0]",4,0.25,
,,0.0625,
"[0.675, 0, 0.5925925925925926, 0.4074074074074074, 0.0, 0.48148148148148145, 1]",2,0,"[0.675, 0, 0.5925925925925926, 0.4074074074074074, 0.0, 0.48148148148148145, 1]"
"[0.7236842105263158, 0, 0.5925925925925926, 0.4074074074074074, 0.0, 0.48148148148148145, 2]",1,0,"[0.7236842105263158, 0, 0.5925925925925926, 0.4074074074074074, 0.0, 0.48148148148148145, 2]"
"[0.7236842105263158, 0, 0.5925925925925926, 0.4074074074074074, 0.0, 0.48148148148148145, 2]",4,-0.4375,
"[0.45544554455445546, 1, 0.07692307692307693, 0.9230769230769231, 1.4666666666666666, 0.23076923076923078, 0]",1,0.125,
,,0.0625,
"[0.975, 1, 0.25, 0.75, 0.0, 0.3333333333333333, 1]",1,0,"[0.975, 1, 0.25, 0.75, 0.0, 0.3333333333333333, 1]"
"[0.8409090909090909, 1, 0.25, 0.75, 0.0, 0.3333333333333333, 2]",1,0,"[0.8409090909090909, 1, 0.25, 0.75, 0.0, 0.3333333333333333, 2]"
"[0.76, 1, 0.25, 0.75, 0.0, 0.3333333333333333, 3]",1,0,"[0.76, 1, 0.25, 0.75, 0.0, 0.3333333333333333, 3]"
"[0.76, 1, 0.25, 0.75, 0.0, 0.3333333333333333, 3]",1,0.125,
"[0.6831683168316832, 0, 1.0, 0.0, 0.4411764705882353, 5.666666666666667, 0]",2,0,"[0.6831683168316832, 0, 1.0, 0.0, 0.4411764705882353, 5.666666666666667, 0]"
"[0.6831683168316832, 0, 1.0, 0.0, 0.4411764705882353, 5.666666666666667, 0]",0,0.4375,
,,0.0625,
,,-0.0625,
"[0.35, 1, 1.0, 0.0, 0.25, 0.3333333333333333, 0]",3,-0.125,
"[0.13333333333333333, 0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.3333333333333333, 1]",1,0,"[0.13333333333333333, 0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.3333333333333333, 1]"
"[0.10975609756097561, 0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.3333333333333333, 2]",1,0,"[0.10975609756097561, 0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.3333333333333333, 2]"
"[0.06666666666666667, 0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.3333333333333333, 3]",1,0,"[0.06666666666666667, 0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.3333333333333333, 3]"
"[0.06666666666666667, 0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.3333333333333333, 3]",3,-0.25,
"[0.5544554455445545, 1, 0.5384615384615384, 0.46153846153846156, 0.6666666666666666, 0.23076923076923078, 0]",3,0.125,
"[0.27722772277227725, 0, 0.6923076923076923, 0.3076923076923077, 0.0, 0.23076923076923078, 0]",3,0.125,
"[0.4939759036144578, 1, 0.8333333333333334, 0.16666666666666666, 0.0, 0.3333333333333333, 1]",1,0,"[0.4939759036144578, 1, 0.8333333333333334, 0.16666666666666666, 0.0, 0.3333333333333333, 1]"
"[0.4939759036144578, 1, 0.8333333333333334, 0.16666666666666666, 0.0, 0.3333333333333333, 1]",2,0.25,
"[0.29, 0, 0.5384615384615384, 0.46153846153846156, 0.6666666666666666, 0.23076923076923078, 0]",0,-0.0625,
"[0.42574257425742573, 1, 0.42424242424242425, 0.5757575757575758, 0.3191489361702128, 1.4242424242424243, 0]",2,0,"[0.42574257425742573, 1, 0.42424242424242425, 0.5757575757575758, 0.3191489361702128, 1.4242424242424243, 0]"
"[0.42574257425742573, 1, 0.42424242424242425, 0.5757575757575758, 0.3191489361702128, 1.4242424242424243, 0]",3,0.4375,
"[0.24, 0, 1.0, 0.0, 0.25, 0.3333333333333333, 0]",1,-0.125,
"[0.35, 1, 0.8461538461538461, 0.15384615384615385, 0.3333333333333333, 0.23076923076923078, 0]",4,0.25,
"[0.1375, 0, 0.5, 0.5, 0.0, 0.48148148148148145, 1]",2,0,"[0.1375, 0, 0.5, 0.5, 0.0, 0.48148148148148145, 1]"
"[0.1375, 0, 0.5, 0.5, 0.0, 0.48148148148148145, 1]",3,0.1625,
"[0.12345679012345678, 1, 0.7166666666666667, 0.2833333333333333, 0.0, 0.3333333333333333, 1]",1,0,"[0.12345679012345678, 1, 0.7166666666666667, 0.2833333333333333, 0.0, 0.3333333333333333, 1]"
